Sl. No,UdiseCode,SchName,School Management,School Category ,District Name,Block Name,Cluster Name,Village Name,SchLocation,Schtype,"Building Status (1-Private Owned, 2-Rented, 3-Government Owned, 4-Government School in a Rent free building, 5-NO
Building (Running in Open Place), 6-School Running in other Department Building)",Total Number of Building Blocks of the School,"Type of Boundary Wall (1-Pucca, 2-Pucca but broken, 3-Barbed wire fencing, 4-Hedges, 5-No boundary walls, 6-Others, 7-Partial,
8-Under Construction)",Dilapidated Building,Total Classrooms in Dilapidated Condition,Halls Avaible,Medical Facilities (Medical Rooms) Available,Store Room Available,"Minority managed school (1-Yes, 2-No)","Boundary wall type (1-Pucca, 2-Pucca but broken, 3- Barbed wire fencing, 4-Hedges, 5-No boundary walls, 6-Others, 7-Partial, 8-Under Construction)","Fire extinguisher available (1-Yes, 2-No)","Whether receiving free uniform (1-Yes, 2-No)","Whether receiving free Textbook for primary (1-Yes, 2-No)","Whether receiving free Textbook for upper Primary (1-Yes, 2-No)",Girls Activity Room Available ,Electricity connection Available,Ramp Available,"If yes, specify Ramp with Handrail or without Handrail",Sport Equiptment,Separate Room for Head Teacher/Principal Available,Staffroom For Teacher,Staff Quarters (Including Residential Quarters for Head Teacher/Principal and Asst. Head Teacher/Vice Principal),Total no of Class Rooms use for Instructional Purpose ,No. of classroom under construction,No. of Pucca classroom for in good condition,No. of Pucca classroom in  for major repair,No. of Pucca classroom in  for minor repair,No. of Partially Pucca classroom for  in good condition,No. of Partially Pucca classroom for  for minor repair,No. of Partially Pucca classroom for  for major repair,No. of Kuccha classroom for  in good condition,No. of Kuccha classroom for  for minor repairing,No. of Kuccha classroom for  for major repairing,Tent,Land is Available for Expansion of School Facilities,Boy toilet available,No of toilet for Boys,No of  Functional toilet for Boys,No of CWSN(Toilet)  for Boys,No of Functional CWSN (Toilet) for Boys,Girls toilet available,No of toilet for Girls,No of Functional toilet for Girls,No of CWSN(Toilet)  for Girls,No of Functional CWSN (Toilet) for Girls,Handwash facility,Hand washing Facility near Toilet,Hand washing Facility after Meals,Drinking Water Availability,Drinking Water Functional,Are there any rainwater harvesting structures implemented within the school campus? ,Has the school availed facilities provided under the Jal Jeevan Mission (JJM)?,Solar Panel ,Is your school equipped with Solar Panel for energy generation?,"         If Yes, specify whether they are  functional or not functional","Whether your school having Sanitary Pad vending Machine - For schools having Secondary and Higher Secondary Sections (1- Yes, 2- No, 3- Yes, but not functional, 4- NO, Pads available with Class Teachers, 9 Not Applicable)",Whether your school  having functional incinerator in girls toilets - For schools having Secondary and Higher Secondary Sections,Library Facility,Does the school have a designated Library room?,Does the School have book bank facility,"If yes, No of books are available",No of Librarians,No of Computers Available in the Library Room,Reading Corner Available,Power Backup Available ,Furniture Available,Playground Available,Separate Common Room For Girls ,Co-Curricular Activity Room/Arts And Crafts Room ,Integrated Science Laboratory for Secondary Details ,No of Room Available,Maths Lab for Secondary Details ,No of Room Available ,Physics Laboratory for Higher Secondary ,No of Room Available ,Chemistry Laboratory for Higher Secondary ,No of Room Available ,Biology Laboratory  for Higher Secondary,No of Room Available ,Library Room,No of Books avaialble,Computer Room ,No of computer ,Tinkering Lab,"Internet Facility available in school (1-Yes, 2-No)","Smart classroom available in school (1-Yes, 2-No)",No of Smart classroom,ICT Lab Available,ICTLab Functional, Total Number of Desktops/Laptops ,Total Number of functional desktops,Total Number of functional Laptops,Total Number of functional Tablets,Total Number of functional digital boards,Total Number of functional projectors,Hostel Facilities for Boys,Does the school have hostel facilities for Boys?,Intake capacity,No of students are currently residing in the hostel,Hostel Facilities for Girls,Does the school have hostel facilities for Girls?,Intake capacity,No of students are currently residing in the hostel
13603,17010700104,CHAKUGITOK UP SCHOOL,Government Aided,4 - Upper Primary only,WEST GARO HILLS-1701,TURA URBAN AREA-170107,CHUNMATI CRC-1707010006,Ward No. 1,Urban,Co-ed,3,1,5,0,0,,,,2,5,2,No,N/A,Yes,No,Yes,No,Not applicable,No,No,No,No,3,0,0,0,0,0,3,0,0,0,0,0,No,Yes,1,1,0,0,No,0,0,0,0,Yes,No,Yes,Yes,Yes,No,,No,,,2,0,No,No,No,0,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
13604,17010700106,LOWER SANGSANGGRE LPS,Government Aided,1 - Primary,WEST GARO HILLS-1701,TURA URBAN AREA-170107,CHUNMATI CRC-1707010006,Ward No. 1,Urban,Co-ed,3,1,5,0,0,,,,2,5,1,Yes,Yes,N/A,No,No,No,Not applicable,No,No,No,No,2,0,0,0,0,0,2,0,0,0,0,0,No,Yes,1,0,0,0,No,0,0,0,0,No,No,No,No,No,No,,No,,,2,0,No,No,No,0,,,No,,Partial,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
13605,17010700107,CHUNMATI GOVT. LPS,Government,1 - Primary,WEST GARO HILLS-1701,TURA URBAN AREA-170107,CHUNMATI CRC-1707010006,Ward No. 1,Urban,Co-ed,3,4,5,0,0,,,,2,5,1,Yes,Yes,N/A,No,No,No,Not applicable,No,No,No,No,4,0,2,0,0,0,0,2,0,0,0,0,No,Yes,3,3,0,0,Yes,2,2,0,0,No,No,No,Yes,Yes,No,,No,,,2,0,No,No,No,0,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
13606,17010700108,DOBASIPARA (GARO) GOVT. LPS,Government,1 - Primary,WEST GARO HILLS-1701,TURA URBAN AREA-170107,CHUNMATI CRC-1707010006,Ward No. 1,Urban,Co-ed,3,1,7,0,1,,,,2,7,1,Yes,Yes,N/A,No,Yes,No,Not applicable,No,No,No,No,4,0,0,0,0,0,4,0,0,0,0,0,No,Yes,1,1,0,0,Yes,1,1,0,0,Yes,No,Yes,Yes,Yes,No,,Yes,,,2,0,No,No,No,0,,,Yes,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
13607,17010700113,DOBAKKOL LPS,Government Aided,1 - Primary,WEST GARO HILLS-1701,TURA URBAN AREA-170107,CHUNMATI CRC-1707010006,Ward No. 1,Urban,Co-ed,3,1,5,0,0,,,,2,5,1,No,Yes,N/A,No,No,No,Not applicable,No,No,No,No,2,0,0,0,0,0,0,2,0,0,0,0,No,Yes,1,1,0,0,No,0,0,0,0,Yes,Yes,Yes,No,No,No,,No,,,2,0,No,No,No,0,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
13608,17010700121,DOBASIPARA G/A NIGHT SECONDARY SCHOOL,Government Aided,8 - Secondary Only,WEST GARO HILLS-1701,TURA URBAN AREA-170107,CHUNMATI CRC-1707010116,Ward No. 1,Urban,Co-ed,1,3,5,1,0,,,,2,5,2,No,N/A,N/A,No,No,No,Not applicable,No,No,Yes,No,2,0,0,0,0,0,1,0,0,0,1,0,No,Yes,1,1,0,0,Yes,1,1,0,0,Yes,Yes,Yes,Yes,Yes,No,,No,,,2,0,No,No,No,0,,,No,,Yes for all,Yes,No,No,No,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,No,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
13609,17010700306,SUSANGHAT GOVT. LPS,Government,1 - Primary,WEST GARO HILLS-1701,TURA URBAN AREA-170107,CHUNMATI CRC-1707010006,Ward No. 3,Urban,Co-ed,3,1,5,0,1,,,,2,5,1,Yes,Yes,N/A,No,No,Yes,Yes,No,No,No,No,2,6,0,0,0,0,0,2,0,0,0,0,No,Yes,1,1,0,0,Yes,1,1,0,0,Yes,No,Yes,No,No,No,,No,,,2,0,No,No,No,0,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
13610,17010700314,SHRI GOUDIYA VEDANTA VIDYAPITH,Government Aided,8 - Secondary Only,WEST GARO HILLS-1701,TURA URBAN AREA-170107,SATSANG CRC-1707010006,Ward No. 3,Urban,Co-ed,1,4,1,0,0,,,,2,1,2,No,N/A,N/A,No,Yes,No,Not applicable,No,Yes,Yes,No,4,0,4,0,0,0,0,0,0,0,0,0,Yes,Yes,2,2,0,0,Yes,2,2,0,0,No,No,No,Yes,Yes,Yes,,No,,,2,0,No,No,No,0,,,No,,Yes for all,Yes,No,No,Yes,,Not Applicable,,Not Applicable,,No,,Not Applicable,,No,0,Not Applicable,6,No,1,2,0,Yes,Not Applicable,6,4,0,0,0,0,,No,,0,,No,,0
13611,17010700406,PASM POLICE PUBLIC HIGHER SECONDARY SCHOOL,Private Unaided,3 - Pr. with Up.Pr. sec. and H.Sec.,WEST GARO HILLS-1701,TURA URBAN AREA-170107,SATSANG CRC-1707010006,Ward No. 4,Urban,Co-ed,1,3,1,0,0,,,,2,1,1,No,No,No,No,Yes,No,Not applicable,No,Yes,Yes,No,15,0,15,0,0,0,0,0,0,0,0,0,Yes,Yes,2,2,0,0,Yes,2,2,0,0,Yes,No,Yes,Yes,Yes,No,,No,,,2,0,No,No,No,0,,,No,,Yes for all,Yes,No,No,Yes,,Not Applicable,,No,,No,,No,,No,0,Yes,12,No,1,1,1,Yes,Not Applicable,12,12,0,0,0,1,,No,,0,,No,,0
13612,17010700512,HILL VIEW UPS,Government Aided,4 - Upper Primary only,WEST GARO HILLS-1701,TURA URBAN AREA-170107,NEW TURA CHRISTIAN CRC-1707010006,Ward No. 5,Urban,Co-ed,1,1,7,0,0,,,,2,7,1,No,N/A,Yes,No,Yes,No,Not applicable,No,Yes,Yes,No,3,0,3,0,0,0,0,0,0,0,0,0,No,Yes,1,1,0,0,Yes,1,1,0,0,Yes,No,Yes,Yes,Yes,No,,No,,,2,0,Yes,Yes,No,0,,,No,,Yes for all,Yes,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Yes,170,Not Applicable,18,Not Applicable,1,2,0,No,Not Applicable,15,0,1,0,0,0,,No,,0,,No,,0
13613,17010700514,AEROVILLE SCHOOL,Private Unaided,1 - Primary,WEST GARO HILLS-1701,TURA URBAN AREA-170107,TETENGKOL CRC-1707010006,Ward No. 5,Urban,Co-ed,1,1,1,0,0,,,,2,1,2,No,No,N/A,No,Yes,No,Not applicable,No,Yes,Yes,No,9,0,9,0,0,0,0,0,0,0,0,0,Yes,Yes,3,3,0,0,Yes,5,5,0,0,Yes,Yes,No,Yes,Yes,Yes,,No,,,2,0,No,No,No,0,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,15,Not Applicable,2,2,0,No,Not Applicable,15,15,0,0,0,0,,No,,0,,No,,0
13614,17010700516,CASARINA PUBLIC SCHOOL,Private Unaided,6 - Pr. Up Pr. and Secondary Only,WEST GARO HILLS-1701,TURA URBAN AREA-170107,NEW TURA CHRISTIAN CRC-1707010006,Ward No. 5,Urban,Co-ed,1,2,1,0,0,,,,2,1,1,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,12,0,12,0,0,0,0,0,0,0,0,0,No,Yes,6,6,0,0,Yes,6,6,0,0,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,1,Functional,Yes,Yes,No,0,,,No,,Yes for all,Yes,No,Yes,Yes,,No,,No,,No,,No,,Yes,1000,Yes,17,No,1,2,0,Yes,Not Applicable,15,15,2,0,0,1,,No,,0,,No,,0
13615,17010700517,HILL VIEW SECONDARY SCHOOL,Government Aided,8 - Secondary Only,WEST GARO HILLS-1701,TURA URBAN AREA-170107,NEW TURA CHRISTIAN CRC-1707010006,Ward No. 5,Urban,Co-ed,1,2,7,0,0,,,,2,7,1,No,N/A,N/A,No,Yes,No,Not applicable,No,Yes,Yes,Yes,2,3,1,0,1,0,0,0,0,0,0,0,Yes,Yes,1,1,0,0,Yes,1,1,0,0,Yes,No,Yes,Yes,Yes,No,,No,,,2,0,No,Yes,No,0,,,No,,Yes for all,Yes,No,No,No,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Yes,0,Not Applicable,18,No,1,2,0,No,Not Applicable,15,15,1,1,0,1,,No,,0,,No,,0
13616,17010700606,ST. MARYS' UPS,Government Aided,4 - Upper Primary only,WEST GARO HILLS-1701,TURA URBAN AREA-170107,TETENGKOL CRC-1707010006,Ward No. 6,Urban,Co-ed,1,2,1,0,0,,,,1,1,1,No,N/A,Yes,No,Yes,No,Not applicable,No,Yes,Yes,No,6,0,6,0,0,0,0,0,0,0,0,0,Yes,Yes,10,10,0,0,Yes,10,10,0,0,Yes,Yes,Yes,Yes,Yes,Yes,,No,,,1,Functional,Yes,Yes,No,0,,,Yes,,Yes for all,Yes,No,Yes,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Yes,5000,Not Applicable,42,Not Applicable,1,1,1,Yes,Not Applicable,40,35,0,0,0,2,,Yes,,0,,Yes,,60
13617,17010700227,AKONGGIRI G/A SECONDARY SCHOOL,Government Aided,8 - Secondary Only,WEST GARO HILLS-1701,TURA URBAN AREA-170107,CHUNMATI CRC-1707010006,Ward No. 2,Urban,Co-ed,3,2,5,0,0,,,,2,5,2,Yes,N/A,N/A,No,Yes,Yes,No,Yes,Yes,Yes,Yes,2,0,2,0,0,0,0,0,0,0,0,0,Yes,Yes,2,2,0,0,Yes,2,1,0,0,Yes,Yes,Yes,Yes,Yes,Yes but not functional,,No,,,2,0,Yes,Yes,No,0,,,No,,Yes for all,No,No,Yes,Yes,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Yes,938,Not Applicable,28,No,2,1,2,Yes,Yes,20,18,0,4,2,2,,No,,0,,No,,0
13618,17010700305,SATSANG LPS,Government,1 - Primary,WEST GARO HILLS-1701,TURA URBAN AREA-170107,SATSANG CRC-1707010006,Ward No. 3,Urban,Co-ed,3,1,1,0,0,,,,2,1,1,Yes,Yes,N/A,No,No,Yes,No,No,No,No,No,2,0,1,0,1,0,0,0,0,0,0,0,No,Yes,1,1,0,0,Yes,1,1,0,0,Yes,Yes,Yes,Yes,Yes,No,,No,,,2,0,No,No,No,0,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
13619,17010700311,DENOVO ENGLISH SCHOOL,Private Unaided,2 - Primary with Upper Primary,WEST GARO HILLS-1701,TURA URBAN AREA-170107,SATSANG CRC-1707010006,Ward No. 3,Urban,Co-ed,1,1,1,0,0,,,,2,1,1,No,No,No,No,Yes,No,Not applicable,No,Yes,Yes,No,11,2,10,0,1,0,0,0,0,0,0,0,No,Yes,1,1,0,0,Yes,1,1,0,0,Yes,Yes,No,Yes,Yes,No,,No,,,2,0,No,Yes,Yes,60,,,Yes,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Yes,0,Not Applicable,30,Not Applicable,1,2,0,Yes,Not Applicable,15,15,0,0,0,1,,No,,0,,No,,0
13620,17010700401,TURA HINDI SEC. SCHOOL,Government Aided,7 - Upper Pr. and Secondary,WEST GARO HILLS-1701,TURA URBAN AREA-170107,SATSANG CRC-1707010006,Ward No. 4,Urban,Co-ed,1,2,8,0,0,,,,2,8,2,Yes,N/A,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,6,0,5,0,0,1,0,0,0,0,0,0,Yes,Yes,1,1,0,0,Yes,2,2,0,0,Yes,Yes,No,Yes,Yes,No,,No,,,1,Functional,Yes,Yes,Yes,1100,,,No,,Yes for all,No,No,No,Yes,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Yes,1100,Not Applicable,24,No,1,1,1,Yes,Yes,22,20,0,0,0,1,,No,,0,,No,,0
13621,17010700520,MT. SINAI SECONDARY SCHOOL,Government Aided,8 - Secondary Only,WEST GARO HILLS-1701,TURA URBAN AREA-170107,MODINAGAR CRC-1707010006,Ward No. 5,Urban,Co-ed,1,2,7,0,0,,,,2,7,1,Yes,N/A,N/A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,10,0,5,1,4,0,0,0,0,0,0,0,Yes,Yes,5,5,0,0,Yes,5,5,0,0,Yes,Yes,Yes,Yes,Yes,No,,No,,,2,0,Yes,Yes,Yes,1275,,,Yes,,Yes for all,No,Yes,Yes,Yes,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Yes,1275,Not Applicable,37,No,2,1,2,Yes,Yes,30,29,0,3,2,2,,No,,0,,No,,0
13622,17010700607,SOKSANANG LPS,Government Aided,1 - Primary,WEST GARO HILLS-1701,TURA URBAN AREA-170107,MODINAGAR CRC-1707010006,Ward No. 6,Urban,Co-ed,3,1,5,0,1,,,,2,5,1,Yes,Yes,N/A,No,No,No,Not applicable,No,No,No,No,2,0,1,1,0,0,0,0,0,0,0,0,No,Yes,1,0,0,0,No,0,0,0,0,No,No,No,No,No,No,,No,,,2,0,No,No,No,0,,,No,,Partial,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
13623,17010700614,BIDANCHI SSA LPS,Government,1 - Primary,WEST GARO HILLS-1701,TURA URBAN AREA-170107,MODINAGAR CRC-1707010006,Ward No. 6,Urban,Co-ed,3,1,1,0,0,,,,2,1,1,Yes,Yes,N/A,No,Yes,No,Not applicable,No,No,No,No,7,0,7,0,0,0,0,0,0,0,0,0,Yes,Yes,1,1,0,0,Yes,1,1,0,0,Yes,Yes,No,Yes,Yes,No,,No,,,2,0,No,No,No,0,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
13624,17010700616,ST. MARYS' LPS,Private Unaided,1 - Primary,WEST GARO HILLS-1701,TURA URBAN AREA-170107,TETENGKOL CRC-1707010006,Ward No. 6,Urban,Co-ed,1,2,1,0,0,,,,1,1,1,No,No,N/A,No,Yes,No,Not applicable,No,Yes,Yes,No,14,0,14,0,0,0,0,0,0,0,0,0,Yes,Yes,10,10,0,0,Yes,10,10,0,0,Yes,Yes,Yes,Yes,Yes,Yes,,No,,,1,Functional,Yes,Yes,No,0,,,Yes,,Yes for all,Yes,No,Yes,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Yes,5000,Not Applicable,42,Not Applicable,1,1,1,Yes,Not Applicable,40,35,0,0,0,2,,No,,0,,No,,0
13625,17010700618,LOWER KAMIPARA SSA UPS,Government,4 - Upper Primary only,WEST GARO HILLS-1701,TURA URBAN AREA-170107,TETENGKOL CRC-1707010006,Ward No. 6,Urban,Co-ed,3,1,5,0,0,,,,2,5,1,Yes,N/A,Yes,No,No,No,Not applicable,No,No,No,No,3,3,0,0,0,0,0,3,0,0,0,0,No,Yes,1,1,0,0,Yes,1,1,0,0,No,No,No,No,No,No,,No,,,2,0,No,No,No,0,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
13626,17010700619,LOWER KAMIPARA PVT. LPS,Private Unaided,1 - Primary,WEST GARO HILLS-1701,TURA URBAN AREA-170107,TETENGKOL CRC-1707010006,Ward No. 6,Urban,Co-ed,1,1,5,0,0,,,,2,5,2,No,No,N/A,No,No,No,Not applicable,No,No,No,No,3,0,0,0,0,0,3,0,0,0,0,0,No,Yes,1,1,0,0,Yes,1,1,0,0,Yes,No,Yes,No,No,No,,No,,,2,0,No,No,No,0,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
13627,17010700620,LITTLE FLOWER SEC. SCHOOL,Private Unaided,3 - Pr. with Up.Pr. sec. and H.Sec.,WEST GARO HILLS-1701,TURA URBAN AREA-170107,MODINAGAR CRC-1707010006,Ward No. 6,Urban,Co-ed,1,1,1,0,0,,,,2,1,1,No,No,No,Yes,Yes,No,Not applicable,No,Yes,Yes,No,17,0,17,0,0,0,0,0,0,0,0,0,No,Yes,2,2,0,0,Yes,2,2,0,0,Yes,Yes,Yes,Yes,Yes,Yes,,No,,,2,0,Yes,Yes,No,0,,,No,,Yes for all,No,Yes,Yes,Yes,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Yes,150,Not Applicable,16,No,2,2,0,Yes,Not Applicable,15,15,1,0,0,1,,Yes,,0,,Yes,,0
13628,17010700621,ARAIMILE G/A MORNING SEC. SCHOOL,Government Aided,7 - Upper Pr. and Secondary,WEST GARO HILLS-1701,TURA URBAN AREA-170107,MODINAGAR CRC-1707010006,Ward No. 6,Urban,Co-ed,3,1,5,0,0,,,,2,5,2,Yes,N/A,Yes,No,Yes,No,Not applicable,No,Yes,Yes,No,5,0,0,0,0,0,3,2,0,0,0,0,Yes,Yes,1,1,0,0,Yes,1,1,0,0,Yes,Yes,No,Yes,Yes,No,,No,,,2,0,No,No,No,0,,,No,,Yes for all,No,No,No,No,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,1,No,2,2,0,No,Not Applicable,1,1,0,0,0,0,,No,,0,,No,,0
13629,17010700622,BIDANCHI SECONDARY SCHOOL,Government Aided,8 - Secondary Only,WEST GARO HILLS-1701,TURA URBAN AREA-170107,MODINAGAR CRC-1707010006,Ward No. 6,Urban,Co-ed,3,1,1,0,0,,,,2,1,1,No,N/A,N/A,No,Yes,No,Not applicable,No,Yes,Yes,No,4,0,2,1,0,0,0,0,0,0,1,0,Yes,No,0,0,0,0,Yes,1,1,0,0,Yes,Yes,Yes,Yes,Yes,No,,No,,,2,0,No,No,No,0,,,No,,Yes for all,No,No,No,No,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,No,2,1,1,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
13630,17010700628,MOUNT DURA,Private Unaided,11 - Higher Secondary only/Jr. College,WEST GARO HILLS-1701,TURA URBAN AREA-170107,MODINAGAR CRC-1707010006,Ward No. 6,Urban,Co-ed,2,1,6,0,0,,,,2,6,2,No,N/A,N/A,No,Yes,No,Not applicable,No,Yes,Yes,No,4,0,4,0,0,0,0,0,0,0,0,0,Yes,Yes,2,2,0,0,Yes,2,2,0,0,Yes,Yes,Yes,Yes,Yes,No,,No,,,2,0,Yes,Yes,No,0,,,No,,Yes for all,No,No,Yes,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Yes,550,Not Applicable,3,No,2,2,0,Yes,Not Applicable,3,3,0,0,0,0,,No,,0,,No,,0
13631,17010700701,SHERWOOD SEC. SCHOOL,Private Unaided,6 - Pr. Up Pr. and Secondary Only,WEST GARO HILLS-1701,TURA URBAN AREA-170107,NEW TURA CHRISTIAN CRC-1707010006,Ward No. 7,Urban,Co-ed,1,6,1,0,0,,,,2,1,1,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,24,0,14,0,0,10,0,0,0,0,0,0,Yes,Yes,10,10,0,0,Yes,10,10,0,0,Yes,Yes,Yes,Yes,Yes,Yes,,No,,,2,0,Yes,Yes,No,0,,,No,,Yes for all,Yes,No,Yes,Yes,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Yes,2000,Not Applicable,20,No,1,2,0,Yes,Not Applicable,20,20,0,0,0,0,,No,,0,,No,,0
13632,17010700802,GARO UNION LPS,Government,1 - Primary,WEST GARO HILLS-1701,TURA URBAN AREA-170107,MODINAGAR CRC-1707010006,Ward No. 8,Urban,Co-ed,6,2,1,0,0,,,,2,1,2,Yes,Yes,N/A,No,Yes,No,Not applicable,No,Yes,Yes,No,8,0,4,0,1,3,0,0,0,0,0,0,No,Yes,1,1,0,0,Yes,1,1,0,0,No,No,No,Yes,Yes,No,,No,,,2,0,No,No,No,0,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,1,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
13633,17010700805,NEW TURA CHRISTIAN UPS,Government Aided,4 - Upper Primary only,WEST GARO HILLS-1701,TURA URBAN AREA-170107,TETENGKOL CRC-1707010006,Ward No. 8,Urban,Co-ed,1,1,5,0,0,,,,2,5,1,No,N/A,Yes,No,Yes,No,Not applicable,No,No,No,No,3,0,3,0,0,0,0,0,0,0,0,0,No,Yes,1,1,0,0,Yes,1,1,0,0,Yes,No,Yes,Yes,Yes,No,,No,,,2,0,No,No,No,0,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
13634,17010700806,STEPHEN MEMORIAL LPS,Government Aided,1 - Primary,WEST GARO HILLS-1701,TURA URBAN AREA-170107,NEW TURA CHRISTIAN CRC-1707010006,Ward No. 8,Urban,Co-ed,1,1,1,0,0,,,,1,1,1,No,No,N/A,No,Yes,No,Not applicable,Yes,Yes,Yes,No,7,0,7,0,0,0,0,0,0,0,0,0,Yes,Yes,6,6,0,0,Yes,6,6,0,0,No,No,No,Yes,Yes,No,,No,,,2,0,No,No,No,0,,,No,,Yes for all,Yes,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,5,Not Applicable,2,2,0,Yes,Not Applicable,5,5,0,0,0,0,,No,,0,,No,,0
13635,17010700809,BURNY HILL LPS,Government Aided,1 - Primary,WEST GARO HILLS-1701,TURA URBAN AREA-170107,NEW TURA CHRISTIAN CRC-1707010006,Ward No. 8,Urban,Co-ed,3,2,5,0,0,,,,2,5,1,Yes,Yes,N/A,No,No,No,Not applicable,No,No,No,No,2,0,0,0,0,0,2,0,0,0,0,0,Yes,Yes,1,1,0,0,Yes,1,1,0,0,Yes,No,Yes,No,No,No,,No,,,2,0,No,No,No,0,,,No,,Partial,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
